sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11380,은평구,학원,off,39.513,36.461,37.987,Index Scan using,idx_mpsn_sigungu,295,5910,y
11380,은평구,공인중개사,on,49.579,50.04,49.809,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11380,은평구,공인중개사,off,55.216,55.501,55.358,Index Scan using,idx_mpsn_sigungu,641,5564,y
11380,은평구,편의점,on,2.387,2.42,2.404,Bitmap Index Scan on,idx_mpsn_sigungu,6205,,y
11380,은평구,편의점,off,7.708,9.081,8.395,Index Scan using,idx_mpsn_sigungu,10,6195,y
11380,은평구,스타벅스,on,4.714,4.785,4.75,Bitmap Index Scan on,idx_mpsn_names,731,,y
11380,은평구,스타벅스,off,13.085,13.087,13.086,Index Scan using,idx_mpsn_sigungu,16,6189,y
11380,은평구,미용실,on,12.375,12.406,12.39,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11380,은평구,미용실,off,20.757,24.864,22.811,Index Scan using,idx_mpsn_sigungu,127,6078,y
11410,서대문구,카페,on,229.442,229.272,229.357,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11410,서대문구,카페,off,22.004,21.49,21.747,Index Scan using,idx_mpsn_sigungu,171,4937,y
11410,서대문구,학원,on,238.021,237.246,237.633,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11410,서대문구,학원,off,29.642,29.761,29.701,Index Scan using,idx_mpsn_sigungu,214,4894,y
11410,서대문구,공인중개사,on,39.634,39.381,39.508,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11410,서대문구,공인중개사,off,40.387,39.144,39.766,Index Scan using,idx_mpsn_sigungu,378,4730,y
11410,서대문구,편의점,on,1.92,1.882,1.901,Bitmap Index Scan on,idx_mpsn_sigungu,5108,,y
11410,서대문구,편의점,off,5.094,4.992,5.043,Index Scan using,idx_mpsn_sigungu,6,5102,y
11410,서대문구,스타벅스,on,12.367,12.753,12.56,Bitmap Index Scan on,idx_mpsn_names,731,,y
11410,서대문구,스타벅스,off,15.993,15.996,15.995,Index Scan using,idx_mpsn_sigungu,21,5087,y
11410,서대문구,미용실,on,12.699,12.128,12.413,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11410,서대문구,미용실,off,15.146,15.164,15.155,Index Scan using,idx_mpsn_sigungu,68,5040,y
11440,마포구,카페,on,244.847,243.595,244.221,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11440,마포구,카페,off,35.2,35.232,35.216,Index Scan using,idx_mpsn_sigungu,312,9102,y
11440,마포구,학원,on,247.564,247.121,247.343,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11440,마포구,학원,off,38.897,38.49,38.694,Index Scan using,idx_mpsn_sigungu,379,9035,y
11440,마포구,공인중개사,on,64.202,64.639,64.421,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11440,마포구,공인중개사,off,65.013,64.82,64.916,Index Scan using,idx_mpsn_sigungu,635,8779,y
11440,마포구,편의점,on,0.872,0.856,0.864,Bitmap Index Scan on,idx_mpsn_sigungu,9414,,y
11440,마포구,편의점,off,6.527,6.537,6.532,Index Scan using,idx_mpsn_sigungu,1,9413,y
11440,마포구,스타벅스,on,11.211,10.841,11.026,Bitmap Index Scan on,idx_mpsn_sigungu,9414,,y
11440,마포구,스타벅스,off,18.135,18.051,18.093,Index Scan using,idx_mpsn_sigungu,36,9378,y
11440,마포구,미용실,on,12.221,11.955,12.088,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11440,마포구,미용실,off,17.894,18.0,17.947,Index Scan using,idx_mpsn_sigungu,86,9328,y
11470,양천구,카페,on,238.618,236.631,237.625,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11470,양천구,카페,off,28.587,29.163,28.875,Index Scan using,idx_mpsn_sigungu,200,4280,y
11470,양천구,학원,on,245.805,244.86,245.333,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11470,양천구,학원,off,38.159,38.065,38.112,Index Scan using,idx_mpsn_sigungu,360,4120,y
11470,양천구,공인중개사,on,52.198,52.614,52.406,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11470,양천구,공인중개사,off,50.732,50.898,50.815,Index Scan using,idx_mpsn_sigungu,465,4015,y
11470,양천구,편의점,on,1.395,1.316,1.356,Bitmap Index Scan on,idx_mpsn_sigungu,4480,,y
11470,양천구,편의점,off,4.141,4.082,4.111,Index Scan using,idx_mpsn_sigungu,4,4476,y
11470,양천구,스타벅스,on,6.858,6.974,6.916,Bitmap Index Scan on,idx_mpsn_names,731,,y
11470,양천구,스타벅스,off,10.665,10.235,10.45,Index Scan using,idx_mpsn_sigungu,16,4464,y
11470,양천구,미용실,on,18.0,17.563,17.782,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11470,양천구,미용실,off,20.512,20.042,20.277,Index Scan using,idx_mpsn_sigungu,119,4361,y
11500,강서구,카페,on,247.783,247.792,247.787,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11500,강서구,카페,off,39.727,39.747,39.737,Index Scan using,idx_mpsn_sigungu,273,5815,y
